mgi_symbol	ensembl_gene_id	external_gene_name
Oprk1	ENSMUSG00000025905	Oprk1
Rb1cc1	ENSMUSG00000025907	Rb1cc1
Sntg1	ENSMUSG00000025909	Sntg1
Adhfe1	ENSMUSG00000025911	Adhfe1
Mybl1	ENSMUSG00000025912	Mybl1
Sgk3	ENSMUSG00000025915	Sgk3
Ppp1r42	ENSMUSG00000025916	Ppp1r42
Cops5	ENSMUSG00000025917	Cops5
Stau2	ENSMUSG00000025920	Stau2
Rdh10	ENSMUSG00000025921	Rdh10
Terf1	ENSMUSG00000025925	Terf1
Tfap2b	ENSMUSG00000025927	Tfap2b
Il17a	ENSMUSG00000025929	Il17a
Msc	ENSMUSG00000025930	Msc
Paqr8	ENSMUSG00000025931	Paqr8
Eya1	ENSMUSG00000025932	Eya1
Tmem14a	ENSMUSG00000025933	Tmem14a
Gsta3	ENSMUSG00000025934	Gsta3
Tram1	ENSMUSG00000025935	Tram1
Lactb2	ENSMUSG00000025937	Lactb2
Slco5a1	ENSMUSG00000025938	Slco5a1
Ube2w	ENSMUSG00000025939	Ube2w
Tmem70	ENSMUSG00000025940	Tmem70
Crygf	ENSMUSG00000025945	Crygf
Pth2r	ENSMUSG00000025946	Pth2r
Pikfyve	ENSMUSG00000025949	Pikfyve
Idh1	ENSMUSG00000025950	Idh1
Crygc	ENSMUSG00000025952	Crygc
Akr1cl	ENSMUSG00000025955	Akr1cl
Mettl21a	ENSMUSG00000025956	Mettl21a
Creb1	ENSMUSG00000025958	Creb1
Klf7	ENSMUSG00000025959	Klf7
4933402D24Rik	ENSMUSG00000025961	4933402D24Rik
Fastkd2	ENSMUSG00000025962	Fastkd2
Mdh1b	ENSMUSG00000025963	Mdh1b
Adam23	ENSMUSG00000025964	Adam23
Eef1b2	ENSMUSG00000025967	Eef1b2
Ndufs1	ENSMUSG00000025968	Ndufs1
Nrp2	ENSMUSG00000025969	Nrp2
Maip1	ENSMUSG00000025971	Maip1
Boll	ENSMUSG00000025977	Boll
Rftn2	ENSMUSG00000025978	Rftn2
Mob4	ENSMUSG00000025979	Mob4
Hspd1	ENSMUSG00000025980	Hspd1
Coq10b	ENSMUSG00000025981	Coq10b
Sf3b1	ENSMUSG00000025982	Sf3b1
Ccdc150	ENSMUSG00000025983	Ccdc150
Slc39a10	ENSMUSG00000025986	Slc39a10
Cps1	ENSMUSG00000025991	Cps1
Slc40a1	ENSMUSG00000025993	Slc40a1
Wdr75	ENSMUSG00000025995	Wdr75
Ikzf2	ENSMUSG00000025997	Ikzf2
Lancl1	ENSMUSG00000026000	Lancl1
Acadl	ENSMUSG00000026003	Acadl
Kansl1l	ENSMUSG00000026004	Kansl1l
Rpe	ENSMUSG00000026005	Rpe
Icos	ENSMUSG00000026009	Icos
Ctla4	ENSMUSG00000026011	Ctla4
Cd28	ENSMUSG00000026012	Cd28
Raph1	ENSMUSG00000026014	Raph1
Carf	ENSMUSG00000026017	Carf
Ica1l	ENSMUSG00000026018	Ica1l
Wdr12	ENSMUSG00000026019	Wdr12
Nop58	ENSMUSG00000026020	Nop58
Sumo1	ENSMUSG00000026021	Sumo1
Cdk15	ENSMUSG00000026023	Cdk15
Als2	ENSMUSG00000026024	Als2
Stradb	ENSMUSG00000026027	Stradb
Trak2	ENSMUSG00000026028	Trak2
Casp8	ENSMUSG00000026029	Casp8
Cflar	ENSMUSG00000026031	Cflar
Ndufb3	ENSMUSG00000026032	Ndufb3
Clk1	ENSMUSG00000026034	Clk1
Ppil3	ENSMUSG00000026035	Ppil3
Nif3l1	ENSMUSG00000026036	Nif3l1
Orc2	ENSMUSG00000026037	Orc2
Sgo2a	ENSMUSG00000026039	Sgo2a
Col5a2	ENSMUSG00000026042	Col5a2
Col3a1	ENSMUSG00000026043	Col3a1
Poglut2	ENSMUSG00000026047	Poglut2
Ercc5	ENSMUSG00000026048	Ercc5
Tex30	ENSMUSG00000026049	Tex30
Ecrg4	ENSMUSG00000026051	Ecrg4
Khdrbs2	ENSMUSG00000026058	Khdrbs2
Slc9a2	ENSMUSG00000026062	Slc9a2
Pih1d3	ENSMUSG00000026063	Pih1d3
Ptp4a1	ENSMUSG00000026064	Ptp4a1
Slc9a4	ENSMUSG00000026065	Slc9a4
Il18rap	ENSMUSG00000026068	Il18rap
Il1rl1	ENSMUSG00000026069	Il1rl1
Il18r1	ENSMUSG00000026070	Il18r1
Il1r1	ENSMUSG00000026072	Il1r1
Il1r2	ENSMUSG00000026073	Il1r2
Map4k4	ENSMUSG00000026074	Map4k4
Npas2	ENSMUSG00000026077	Npas2
Pdcl3	ENSMUSG00000026078	Pdcl3
Chst10	ENSMUSG00000026080	Chst10
Rev1	ENSMUSG00000026082	Rev1
Eif5b	ENSMUSG00000026083	Eif5b
Lyg1	ENSMUSG00000026085	Lyg1
Mrpl30	ENSMUSG00000026087	Mrpl30
Mitd1	ENSMUSG00000026088	Mitd1
2010300C02Rik	ENSMUSG00000026090	2010300C02Rik
Stk17b	ENSMUSG00000026094	Stk17b
Asnsd1	ENSMUSG00000026095	Asnsd1
Osgepl1	ENSMUSG00000026096	Osgepl1
Ormdl1	ENSMUSG00000026097	Ormdl1
Pms1	ENSMUSG00000026098	Pms1
Mstn	ENSMUSG00000026100	Mstn
Inpp1	ENSMUSG00000026102	Inpp1
Gls	ENSMUSG00000026103	Gls
Stat1	ENSMUSG00000026104	Stat1
Nabp1	ENSMUSG00000026107	Nabp1
Tmeff2	ENSMUSG00000026109	Tmeff2
Mgat4a	ENSMUSG00000026110	Mgat4a
Unc50	ENSMUSG00000026111	Unc50
Coa5	ENSMUSG00000026112	Coa5
Inpp4a	ENSMUSG00000026113	Inpp4a
Cnga3	ENSMUSG00000026114	Cnga3
Tmem131	ENSMUSG00000026116	Tmem131
Zap70	ENSMUSG00000026117	Zap70
Sema4c	ENSMUSG00000026121	Sema4c
Plekhb2	ENSMUSG00000026123	Plekhb2
Cfc1	ENSMUSG00000026124	Cfc1
Prss39	ENSMUSG00000026125	Prss39
Ptpn18	ENSMUSG00000026126	Ptpn18
Imp4	ENSMUSG00000026127	Imp4
Dst	ENSMUSG00000026131	Dst
Prim2	ENSMUSG00000026134	Prim2
Zfp142	ENSMUSG00000026135	Zfp142
Col19a1	ENSMUSG00000026141	Col19a1
Rhbdd1	ENSMUSG00000026142	Rhbdd1
Col9a1	ENSMUSG00000026147	Col9a1
Tm4sf20	ENSMUSG00000026149	Tm4sf20
Mff	ENSMUSG00000026150	Mff
Fam135a	ENSMUSG00000026153	Fam135a
Sdhaf4	ENSMUSG00000026154	Sdhaf4
Smap1	ENSMUSG00000026155	Smap1
B3gat2	ENSMUSG00000026156	B3gat2
Ogfrl1	ENSMUSG00000026158	Ogfrl1
Agfg1	ENSMUSG00000026159	Agfg1
Nhej1	ENSMUSG00000026162	Nhej1
Sphkap	ENSMUSG00000026163	Sphkap
Ccl20	ENSMUSG00000026166	Ccl20
Wnt10a	ENSMUSG00000026167	Wnt10a
Cyp27a1	ENSMUSG00000026170	Cyp27a1
Rnf25	ENSMUSG00000026171	Rnf25
Bcs1l	ENSMUSG00000026172	Bcs1l
Plcd4	ENSMUSG00000026173	Plcd4
Cnot9	ENSMUSG00000026174	Cnot9
Vil1	ENSMUSG00000026175	Vil1
Ctdsp1	ENSMUSG00000026176	Ctdsp1
Slc11a1	ENSMUSG00000026177	Slc11a1
Pnkd	ENSMUSG00000026179	Pnkd
Cxcr2	ENSMUSG00000026180	Cxcr2
Tnp1	ENSMUSG00000026182	Tnp1
Igfbp5	ENSMUSG00000026185	Igfbp5
Xrcc5	ENSMUSG00000026187	Xrcc5
Tmem169	ENSMUSG00000026188	Tmem169
Pecr	ENSMUSG00000026189	Pecr
Atic	ENSMUSG00000026192	Atic
Fn1	ENSMUSG00000026193	Fn1
Bard1	ENSMUSG00000026196	Bard1
Zfand2b	ENSMUSG00000026197	Zfand2b
Abcb6	ENSMUSG00000026198	Abcb6
Ankzf1	ENSMUSG00000026199	Ankzf1
Glb1l	ENSMUSG00000026200	Glb1l
Stk16	ENSMUSG00000026201	Stk16
Tuba4a	ENSMUSG00000026202	Tuba4a
Dnajb2	ENSMUSG00000026203	Dnajb2
Ptprn	ENSMUSG00000026204	Ptprn
Slc23a3	ENSMUSG00000026205	Slc23a3
Speg	ENSMUSG00000026207	Speg
Des	ENSMUSG00000026208	Des
Dnpep	ENSMUSG00000026209	Dnpep
Obsl1	ENSMUSG00000026211	Obsl1
Stk11ip	ENSMUSG00000026213	Stk11ip
Trip12	ENSMUSG00000026219	Trip12
Slc16a14	ENSMUSG00000026220	Slc16a14
