	p_val	avg_logFC	pct.1	pct.2	p_val_adj	which_high
Banf1	2.81640819854904e-216	0.53330533138344	0.81	0.418	9.34399748032615e-212	Astroependymal
Chpt1	1.78158393081824e-215	-0.939023349876178	0.395	0.669	5.91076100727567e-211	Ependymal
Efcab1	2.57812714926381e-213	-0.824608806682588	0.178	0.576	8.55345244311256e-209	Ependymal
Tekt1	3.25523134228801e-211	-0.772661093714778	0.431	0.72	1.07998810243089e-206	Ependymal
Gm973	4.33322006206487e-210	-0.84214980505867	0.241	0.602	1.43763241999126e-205	Ependymal
Iqca	5.3099551451844e-210	-0.908839474361252	0.183	0.561	1.76168381851783e-205	Ependymal
Apoe	4.66498687575934e-209	-1.13336843217448	0.724	0.897	1.54770269577068e-204	Ependymal
Cdk4	1.10764621092706e-206	0.517197532609508	0.891	0.537	3.67483783399272e-202	Astroependymal
Smim5	1.93271948850666e-206	-0.766968184905725	0.096	0.512	6.41218344701856e-202	Ependymal
Eno1	1.67455217657924e-204	0.618069876683716	0.935	0.658	5.55566175623695e-200	Astroependymal
Sdc4	5.13193628944937e-204	0.701490409749737	0.905	0.623	1.70262250275062e-199	Astroependymal
Cct2	1.19909247050236e-201	0.557635467336209	0.868	0.55	3.9782290893857e-197	Astroependymal
S100a4	1.57312421218912e-201	0.66462425640601	0.537	0.164	5.21915419877984e-197	Astroependymal
Ak7	1.45274362178736e-200	-0.975769565019514	0.297	0.617	4.81976751400393e-196	Ependymal
Serpine2	3.69137559299344e-200	-0.638323405623127	0.709	0.857	1.22468768048744e-195	Ependymal
Ndrg2	4.43293617518323e-200	-1.03790855989444	0.468	0.737	1.47071523484054e-195	Ependymal
Dynll1	3.91861364212992e-199	-0.507224091179004	0.984	0.988	1.30007844804944e-194	Ependymal
Ccdc113	5.61913739248522e-199	-0.78164817322867	0.285	0.628	1.86426121270482e-194	Ependymal
Phlda1	2.69367260310196e-198	0.585746058604821	0.805	0.39	8.93679759531138e-194	Astroependymal
Cfap54	1.87837893486529e-197	-0.959095380184835	0.282	0.608	6.23189779220258e-193	Ependymal
1700088E04Rik	3.21432228492779e-197	-0.7344406383985	0.472	0.73	1.06641570447049e-192	Ependymal
Tspan3	3.42728602174832e-197	-0.530466421638237	0.885	0.917	1.13707068343544e-192	Ependymal
Ccdc146	8.83090960792559e-197	-0.793540371213725	0.149	0.533	2.92983088062147e-192	Ependymal
Dnali1	1.66155471941152e-195	-0.817435676258122	0.266	0.607	5.5125400925916e-191	Ependymal
Ddx5	2.9397498606931e-194	-0.577735147632474	0.943	0.948	9.7532081128215e-190	Ependymal
Ifitm3	1.40951503221513e-193	-0.534784007991655	0.996	0.997	4.67634802238014e-189	Ependymal
Tsc22d1	3.56083196226452e-192	-0.724003201178746	0.769	0.866	1.1813772201205e-187	Ependymal
1110032A03Rik	1.5264929261196e-191	-0.758572143575072	0.283	0.621	5.064445580987e-187	Ependymal
Cfap20	7.74558023456721e-191	-0.749506730081778	0.528	0.726	2.56975115442236e-186	Ependymal
Nop58	1.69060425426478e-190	0.504527412951736	0.653	0.289	5.60891773437425e-186	Astroependymal
Tmem107	1.14010091025733e-188	-0.629197127305867	0.777	0.859	3.78251278996074e-184	Ependymal
Syne1	7.99955660202548e-187	-1.07180290847713	0.44	0.677	2.65401289385399e-182	Ependymal
Ppp1r36	2.37757613488221e-185	-0.79956528054741	0.37	0.658	7.88808434269869e-181	Ependymal
Nupr1	3.53821512723554e-185	0.720906736268539	0.366	0.08	1.17387363276294e-180	Astroependymal
H2bc4	1.1812213247135e-184	-0.635618321464451	0.777	0.895	3.91893798900199e-180	Ependymal
Drc3	2.69877871021401e-184	-0.78796122266881	0.218	0.56	8.95373812687701e-180	Ependymal
Zcchc18	2.31323156075585e-183	-0.73138444582605	0.46	0.692	7.67460834911968e-179	Ependymal
Fez1	3.24204574513187e-183	-0.576894983282697	0.824	0.882	1.0756135168624e-178	Ependymal
Tpi1	1.71698940670873e-182	0.592648929514219	0.904	0.584	5.69645575463756e-178	Astroependymal
Rpl13a	1.8237904531377e-182	0.607261902904972	0.998	0.946	6.05078958637496e-178	Astroependymal
Ntrk2	4.15919184074051e-181	-0.631175232437646	0.712	0.801	1.37989507700248e-176	Ependymal
Bbox1	2.86920629941766e-180	-0.690351352953235	0.136	0.508	9.51916573957796e-176	Ependymal
Hspd1	4.71173375010038e-180	0.506104223443415	0.909	0.647	1.5632119062708e-175	Astroependymal
Ftl1	3.13980696650672e-179	0.643291736659144	0.998	0.966	1.04169375727793e-174	Astroependymal
Id4	1.47237927448677e-178	-0.944599613145274	0.35	0.629	4.88491271896476e-174	Ependymal
Dgat2	4.36265963987783e-178	-0.747078743545149	0.113	0.482	1.44739958872227e-173	Ependymal
