	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Slc22a4	0	0.278754805147025	0.224	0.018	0
Sar1b	0	0.27869836218841	0.616	0.426	0
Ift20	0	0.278514950990752	0.568	0.382	0
Usp2	0	0.278507127076768	0.374	0.192	0
Clasp2	0	0.278434347730329	0.338	0.136	0
Ddit4l	0	0.278346466639849	0.233	0.025	0
Nap1l1	0	0.277851342007114	0.657	0.527	0
Plod2	0	0.27778155427459	0.256	0.036	0
Gm11992	0	0.277658214933834	0.228	0.004	0
Rfx3	0	0.277424122844717	0.245	0.025	0
Rhou	0	0.277361018545731	0.202	0.021	0
Kcnk2	0	0.277236395357476	0.2	0.005	0
Cfap65	0	0.277131473492881	0.192	0.004	0
Mgst1	0	0.277024881278126	0.42	0.235	0
Prmt1	0	0.276941125822294	0.586	0.402	0
Myo5a	0	0.276870130282841	0.341	0.151	0
Cmtm4	0	0.276679766446182	0.279	0.057	0
Cirbp	0	0.276648890995314	0.497	0.253	0
Pigyl	0	0.276603885473428	0.4	0.203	0
Pfdn2	0	0.276456548676629	0.738	0.552	0
Sik3	0	0.275898022011962	0.317	0.098	0
Elob	0	0.275817229640284	0.968	0.913	0
Churc1	0	0.275703655380478	0.555	0.332	0
Pou3f1	0	0.27556062181274	0.127	0.009	0
Hnrnpu	0	0.27509025051416	0.702	0.586	0
U2af1	0	0.275068584016053	0.707	0.532	0
Avpi1	0	0.275034055781295	0.31	0.118	0
Srpk2	0	0.274938725445386	0.494	0.283	0
Serpinb1a	0	0.274928759008796	0.153	0.04	0
Smc3	0	0.27451505143223	0.47	0.251	0
Cox7c	0	0.274339182969092	0.985	0.963	0
Pdia4	0	0.27431238193423	0.56	0.361	0
Efcab14	0	0.274036331932078	0.36	0.182	0
Zfp428	0	0.274011881952439	0.269	0.033	0
Puf60	0	0.273869417167613	0.559	0.37	0
Il1rap	0	0.273840045618923	0.23	0.063	0
Tmco3	0	0.273565517839805	0.313	0.116	0
Astn1	0	0.272965408035365	0.238	0.01	0
Slc35a2	0	0.272842188913046	0.373	0.137	0
Pafah1b2	0	0.272514416774999	0.495	0.259	0
Nme9	0	0.272409643847438	0.166	0.001	0
Ampd3	0	0.27211485321864	0.251	0.062	0
Emsy	0	0.272056676359863	0.331	0.127	0
Spag17	0	0.271955923543198	0.181	0.001	0
Nmnat2	0	0.27191167217366	0.222	0.009	0
Pithd1	0	0.271813363515844	0.301	0.101	0
Rexo2	0	0.271802116274203	0.661	0.526	0
Fxyd7	0	0.270824864982968	0.125	0.022	0
Fam162a	0	0.270704100889649	0.55	0.343	0
Tmem59l	0	0.270389645761674	0.25	0.015	0
Pcyt2	0	0.270334278608017	0.246	0.096	0
Oat	0	0.269903633311706	0.432	0.255	0
Abhd3	0	0.269663982222912	0.239	0.017	0
Sox5	0	0.269628778798692	0.218	0.009	0
Clec3b	0	0.269329142105938	0.176	0.006	0
Ccdc33	0	0.269140002501432	0.193	0.002	0
Ahsa1	0	0.269064502735678	0.599	0.393	0
Pdcd6	0	0.268646752008233	0.673	0.483	0
Dgat2	0	0.26841962181516	0.261	0.047	0
Klhl13	0	0.268417743045389	0.246	0.017	0
Ubxn4	0	0.268228925187526	0.637	0.458	0
Top1	0	0.268137956735785	0.698	0.566	0
Creb5	0	0.268017800517951	0.258	0.075	0
Hdgfl3	0	0.267938872011265	0.282	0.055	0
Tnik	0	0.26759424816372	0.236	0.022	0
Hap1	0	0.267470913446401	0.261	0.017	0
Dusp26	0	0.267316506552066	0.173	0.012	0
Dthd1	0	0.267224417076286	0.191	0.001	0
Adgra1	0	0.267075366078685	0.217	0.007	0
Lmbrd1	0	0.26697041472455	0.493	0.297	0
Mapk10	0	0.266809050048942	0.253	0.011	0
Eno4	0	0.26677471730708	0.21	0.003	0
Erbb4	0	0.266606662969895	0.219	0.003	0
Synm	0	0.266531937484876	0.337	0.136	0
