"Pair_name","Score","pval","adj_pval","Ligand_cell","Receptor_cell","split.by","Ligand","Receptor","Ligand_avgExp","Receptor_avgExp","Ligand_pct","Receptor_pct","Cell_pair","LR_pair","Ligand_cell_pct","Receptor_cell_pct"
"Clcf1_Cntfr",0.0489435097638079,0.0600000000000001,1,"DAM-C","Oligodendrocyte","1dpi","Clcf1","Cntfr",0.056238625089889,0.0416483944377267,0.09,0.062,"DAM-C_Oligodendrocyte","Clcf1_Cntfr",42.1,39
"Clcf1_Cntfr",0.0527923751446116,0.035,1,"Fibroblast","Oligodendrocyte","1dpi","Clcf1","Cntfr",0.0639363558514965,0.0416483944377267,0.095,0.062,"Fibroblast_Oligodendrocyte","Clcf1_Cntfr",40,39
"Clcf1_Cntfr",0.217736186605783,0,0.757,"Astroependymal","Oligodendrocyte","1dpi","Clcf1","Cntfr",0.393823978773839,0.0416483944377267,0.448,0.062,"Astroependymal_Oligodendrocyte","Clcf1_Cntfr",79.7,39
"Clcf1_Cntfr",0.0358550426382506,0.726,1,"OPC-A","Oligodendrocyte","1dpi","Clcf1","Cntfr",0.0300616908387744,0.0416483944377267,0.048,0.062,"OPC-A_Oligodendrocyte","Clcf1_Cntfr",28.4,39
"Clcf1_Cntfr",0.148346966302535,0,0.898,"OPC-B","Oligodendrocyte","1dpi","Clcf1","Cntfr",0.255045538167343,0.0416483944377267,0.382,0.062,"OPC-B_Oligodendrocyte","Clcf1_Cntfr",69.8,39
"Clcf1_Cntfr",0.0203515778360587,0.993,1,"Monocyte","Pericyte","3dpi","Clcf1","Cntfr",0.0407031556721174,0,0.035,0,"Monocyte_Pericyte","Clcf1_Cntfr",33.2,12.9
"Clcf1_Cntfr",0.00885799427528016,1,1,"Macrophage-A","Pericyte","3dpi","Clcf1","Cntfr",0.0177159885505603,0,0.026,0,"Macrophage-A_Pericyte","Clcf1_Cntfr",58.1,12.9
"Clcf1_Cntfr",0.00291822830095773,1,1,"Macrophage-B","Pericyte","3dpi","Clcf1","Cntfr",0.00583645660191546,0,0.008,0,"Macrophage-B_Pericyte","Clcf1_Cntfr",51,12.9
"Clcf1_Cntfr",0.0291322308490107,0.821,1,"H-Microglia","Pericyte","3dpi","Clcf1","Cntfr",0.0582644616980215,0,0.058,0,"H-Microglia_Pericyte","Clcf1_Cntfr",20.5,12.9
"Clcf1_Cntfr",0.0338416341587579,0.657,1,"DAM-A","Pericyte","3dpi","Clcf1","Cntfr",0.0676832683175159,0,0.075,0,"DAM-A_Pericyte","Clcf1_Cntfr",28.8,12.9
"Clcf1_Cntfr",0.0227690421259236,0.987,1,"DAM-B","Pericyte","3dpi","Clcf1","Cntfr",0.0455380842518473,0,0.066,0,"DAM-B_Pericyte","Clcf1_Cntfr",38.5,12.9
"Clcf1_Cntfr",0.00630897162790614,1,1,"DAM-C","Pericyte","3dpi","Clcf1","Cntfr",0.0126179432558123,0,0.028,0,"DAM-C_Pericyte","Clcf1_Cntfr",22.6,12.9
"Clcf1_Cntfr",0.0537496602699841,0.165,1,"Fibroblast","Pericyte","3dpi","Clcf1","Cntfr",0.107499320539968,0,0.133,0,"Fibroblast_Pericyte","Clcf1_Cntfr",18.7,12.9
"Clcf1_Cntfr",0.116983901977465,0,0.948,"Astroependymal","Pericyte","3dpi","Clcf1","Cntfr",0.233967803954929,0,0.262,0,"Astroependymal_Pericyte","Clcf1_Cntfr",16.2,12.9
"Clcf1_Cntfr",0.00222945147587081,1,1,"OPC-A","Pericyte","3dpi","Clcf1","Cntfr",0.00445890295174162,0,0.003,0,"OPC-A_Pericyte","Clcf1_Cntfr",16.6,12.9
"Clcf1_Cntfr",0.0134450070523244,0.991,1,"OPC-B","Pericyte","3dpi","Clcf1","Cntfr",0.0268900141046488,0,0.048,0,"OPC-B_Pericyte","Clcf1_Cntfr",24.1,12.9
"Clcf1_Cntfr",0.036702251614884,0.632,1,"Monocyte","Fibroblast","3dpi","Clcf1","Cntfr",0.0407031556721174,0.0327013475576506,0.035,0.057,"Monocyte_Fibroblast","Clcf1_Cntfr",33.2,18.7
"Clcf1_Cntfr",0.0252086680541054,0.998,1,"Macrophage-A","Fibroblast","3dpi","Clcf1","Cntfr",0.0177159885505603,0.0327013475576506,0.026,0.057,"Macrophage-A_Fibroblast","Clcf1_Cntfr",58.1,18.7
"Clcf1_Cntfr",0.019268902079783,1,1,"Macrophage-B","Fibroblast","3dpi","Clcf1","Cntfr",0.00583645660191546,0.0327013475576506,0.008,0.057,"Macrophage-B_Fibroblast","Clcf1_Cntfr",51,18.7
"Clcf1_Cntfr",0.045482904627836,0.196,1,"H-Microglia","Fibroblast","3dpi","Clcf1","Cntfr",0.0582644616980215,0.0327013475576506,0.058,0.057,"H-Microglia_Fibroblast","Clcf1_Cntfr",20.5,18.7
"Clcf1_Cntfr",0.0501923079375832,0.086,1,"DAM-A","Fibroblast","3dpi","Clcf1","Cntfr",0.0676832683175159,0.0327013475576506,0.075,0.057,"DAM-A_Fibroblast","Clcf1_Cntfr",28.8,18.7
"Clcf1_Cntfr",0.0391197159047489,0.543,1,"DAM-B","Fibroblast","3dpi","Clcf1","Cntfr",0.0455380842518473,0.0327013475576506,0.066,0.057,"DAM-B_Fibroblast","Clcf1_Cntfr",38.5,18.7
"Clcf1_Cntfr",0.0226596454067314,0.992,1,"DAM-C","Fibroblast","3dpi","Clcf1","Cntfr",0.0126179432558123,0.0327013475576506,0.028,0.057,"DAM-C_Fibroblast","Clcf1_Cntfr",22.6,18.7
"Clcf1_Cntfr",0.0701003340488093,0.00900000000000001,1,"Fibroblast","Fibroblast","3dpi","Clcf1","Cntfr",0.107499320539968,0.0327013475576506,0.133,0.057,"Fibroblast_Fibroblast","Clcf1_Cntfr",18.7,18.7
"Clcf1_Cntfr",0.13333457575629,0,0.929,"Astroependymal","Fibroblast","3dpi","Clcf1","Cntfr",0.233967803954929,0.0327013475576506,0.262,0.057,"Astroependymal_Fibroblast","Clcf1_Cntfr",16.2,18.7
"Clcf1_Cntfr",0.0185801252546961,0.999,1,"OPC-A","Fibroblast","3dpi","Clcf1","Cntfr",0.00445890295174162,0.0327013475576506,0.003,0.057,"OPC-A_Fibroblast","Clcf1_Cntfr",16.6,18.7
"Clcf1_Cntfr",0.0297956808311497,0.821,1,"OPC-B","Fibroblast","3dpi","Clcf1","Cntfr",0.0268900141046488,0.0327013475576506,0.048,0.057,"OPC-B_Fibroblast","Clcf1_Cntfr",24.1,18.7
"Clcf1_Cntfr",0.0296830898681775,0.947,1,"Monocyte","Astroependymal","3dpi","Clcf1","Cntfr",0.0407031556721174,0.0186630240642375,0.035,0.03,"Monocyte_Astroependymal","Clcf1_Cntfr",33.2,16.2
"Clcf1_Cntfr",0.0181895063073989,1,1,"Macrophage-A","Astroependymal","3dpi","Clcf1","Cntfr",0.0177159885505603,0.0186630240642375,0.026,0.03,"Macrophage-A_Astroependymal","Clcf1_Cntfr",58.1,16.2
"Clcf1_Cntfr",0.0122497403330765,1,1,"Macrophage-B","Astroependymal","3dpi","Clcf1","Cntfr",0.00583645660191546,0.0186630240642375,0.008,0.03,"Macrophage-B_Astroependymal","Clcf1_Cntfr",51,16.2
